Model,n_predictors,AIC,BIC
log_total_area + log_population + median_age + unemployment_rate_pct + health_insurance_coverage_pct,5,51.99210173665472,63.583055533000675
log_population + unemployment_rate_pct + health_insurance_coverage_pct,3,52.093055611904994,59.8203581428023
log_total_area + median_age + health_insurance_coverage_pct,3,52.2418077862307,59.969110317128006
log_total_area + birth_rate + unemployment_rate_pct,3,52.455378051952906,60.18268058285021
unemployment_rate_pct + median_rent,2,52.57484768639702,58.37032458457
log_total_area + log_population + median_age + health_insurance_coverage_pct,4,52.598910658311425,62.258038821933056
log_population + median_age + birth_rate + health_insurance_coverage_pct,4,52.607952678488196,62.26708084210982
log_total_area + log_population + birth_rate,3,52.638104208303794,60.3654067392011
log_total_area + median_age + birth_rate,3,52.9755624257305,60.702864956627806
median_age + health_insurance_coverage_pct,2,53.00131647810622,58.7967933762792
health_insurance_coverage_pct,1,53.28997011868095,57.1536213841296
log_total_area + log_population + birth_rate + unemployment_rate_pct,4,54.33953812555314,63.998666289174764
log_total_area + median_age + birth_rate + unemployment_rate_pct,4,54.381399831693734,64.04052799531536
log_total_area + log_population + median_age + birth_rate,4,54.54704546147907,64.2061736251007
log_population + median_age + health_insurance_coverage_pct,3,54.69088835479807,62.418190885695374
log_population + health_insurance_coverage_pct,2,55.07375454779103,60.86923144596401
log_total_area + log_population + median_age + birth_rate + unemployment_rate_pct,5,56.273218009591936,67.86417180593789
log_total_area,1,57.44681161167898,61.310462877127634
log_total_area + median_age,2,57.902778997985706,63.698255896158685
log_total_area + unemployment_rate_pct,2,58.07731832761868,63.872795225791656
log_total_area + log_population,2,58.09996975000039,63.89544664817337
log_total_area + median_age + unemployment_rate_pct,3,58.30022856193724,66.02753109283454
log_total_area + log_population + median_age,3,58.39026418051446,66.11756671141175
birth_rate,1,58.463375337413524,62.327026602862176
median_age + birth_rate,2,58.8499367541483,64.64541365232128
log_total_area + log_population + unemployment_rate_pct,3,59.71208843003912,67.43939096093642
log_total_area + log_population + median_age + unemployment_rate_pct,4,59.86311588265788,69.52224404627951
birth_rate + unemployment_rate_pct,2,60.34398648856451,66.13946338673749
median_age + birth_rate + unemployment_rate_pct,3,60.347237026145024,68.07453955704233
log_population + birth_rate,2,60.424340537236255,66.21981743540923
log_population + median_age + birth_rate,3,60.82178835378689,68.54909088468419
log_population + median_age + birth_rate + unemployment_rate_pct,4,62.158019207967314,71.81714737158894
log_population + birth_rate + unemployment_rate_pct,3,62.21780779294995,69.94511032384725
median_age + unemployment_rate_pct,2,65.70804000971441,71.50351690788737
median_age,1,66.40625759989717,70.26990886534581
log_population + median_age + unemployment_rate_pct,3,67.17953591443884,74.90683844533613
log_population + median_age,2,68.40444648016557,74.19992337833854
Intercept only,0,70.3097169176425,72.24154255036683
unemployment_rate_pct,1,71.1650136441314,75.02866490958006
log_population,1,72.27588970702773,76.13954097247638
log_population + unemployment_rate_pct,2,72.70873613175291,78.5042130299259
